SNP	gene	beta	t-stat	p-value	FDR
row57	row59	2.25151073224267	7.06981085839625	0.000105084390265856	0.675879737568598
row94	row45	-1.02260086203316	-6.68567737900236	0.000154979657227789	0.675879737568598
row21	row85	-1.17502149845905	-6.2696448811814	0.000240540358304527	0.675879737568598
row89	row32	1.23183007539758	5.81506583255635	0.00039827000856693	0.675879737568598
row12	row80	1.59783679462325	5.79921053821572	0.000405527842541159	0.675879737568598
row19	row80	1.59783679462325	5.79921053821572	0.000405527842541159	0.675879737568598
row24	row42	1.0727544112052	5.56100637086682	0.000534039285070798	0.676463067014336
row92	row55	1.22325153021023	5.47953853018802	0.000587778081217905	0.676463067014336
row49	row17	-1.11357891582858	-5.449846362493	0.000608816760312902	0.676463067014336
row46	row13	1.15195040337045	5.22871677902676	0.000794113327116049	0.723849913438681
row55	row96	-1.74516100716653	-5.22652454217117	0.000796234904782549	0.723849913438681
row25	row57	1.10935708569403	5.14460658061471	0.000880134902481682	0.733445752068068
row51	row17	-0.754239273091256	-4.9952863981212	0.00105904514191465	0.757405609556183
row57	row92	2.08125469242423	4.9908679199444	0.00106491151942909	0.757405609556183
row67	row81	1.37298401290311	4.93926856685512	0.00113610841433427	0.757405609556183
row13	row38	-0.846699256269119	-4.84285907947861	0.00128345323335367	0.760839180887538
row56	row56	-1.35221087659413	-4.83677494693742	0.00129342660750882	0.760839180887538
row30	row50	-0.888450063595465	-4.59537520820417	0.00176610114003646	0.876527603103017
row64	row23	-0.926991303793192	-4.50860409268212	0.00197945860342713	0.876527603103017
row45	row50	0.7604958168058	4.40982104127786	0.00225694532694535	0.876527603103017
row20	row54	-1.29831016128619	-4.31534419575953	0.0025621105605661	0.876527603103017
row7	row81	1.20978535490462	4.30775126187983	0.00258850596685239	0.876527603103017
row86	row12	-0.887962552680898	-4.29132267099418	0.00264662847974776	0.876527603103017
row55	row84	1.0242688520077	4.28486866592266	0.00266984661466235	0.876527603103017
row46	row74	-1.15830130943849	-4.26025759989087	0.00276042498814504	0.876527603103017
row5	row73	-0.910135671093164	-4.24652671226247	0.00281239829269909	0.876527603103017
row18	row87	-0.994157091781269	-4.23872370662112	0.00284240388883339	0.876527603103017
row5	row48	1.01805856674693	4.15718487828655	0.00317746862221559	0.876527603103017
row56	row48	1.12111074631779	4.09472980637733	0.00346288059406557	0.876527603103017
row4	row95	-1.2676013093885	-4.08003910703654	0.00353395158579495	0.876527603103017
row3	row46	1.53934068448096	4.0622117535665	0.00362231288855547	0.876527603103017
row74	row87	1.07731943691356	4.05239993500022	0.00367195717902849	0.876527603103017
row44	row61	-0.551530278314617	-4.05043679672839	0.00368197756779128	0.876527603103017
row91	row50	-1.32229760906764	-4.02449848730084	0.00381717178800849	0.876527603103017
row29	row2	1.42642769086176	4.01950094273782	0.00384382789997967	0.876527603103017
row42	row51	-0.993570256587643	-3.98855026357801	0.00401343606096094	0.876527603103017
row18	row75	1.07736491834312	3.9836626843282	0.00404094718385093	0.876527603103017
row16	row59	-1.15813284196669	-3.96298021324985	0.00415962705949455	0.876527603103017
row66	row58	-0.462683284208463	-3.9547405580908	0.00420794575262314	0.876527603103017
row91	row21	1.60311395067787	3.95245561100322	0.00422145154518772	0.876527603103017
row38	row1	-1.18298328785591	-3.95177169515759	0.00422550305762991	0.876527603103017
row41	row91	-2.98885452308087	-3.94108138790024	0.00428937791945982	0.876527603103017
row99	row91	-2.98885452308087	-3.94108138790024	0.00428937791945982	0.876527603103017
row87	row25	0.922966500535755	3.94020082745383	0.00429468530308406	0.876527603103017
row37	row28	-0.827369817145001	-3.91715841639206	0.00443610385742593	0.876527603103017
row80	row74	1.09090793711041	3.88467489097005	0.00464401462579653	0.876527603103017
row29	row88	1.79952567031721	3.88364186007432	0.00465079563228181	0.876527603103017
row8	row100	1.09614956330071	3.8724233755624	0.00472512317400626	0.876527603103017
row31	row13	1.21809309968545	3.87225018412681	0.00472628057733961	0.876527603103017
row3	row19	-1.21940843926001	-3.86743275421894	0.00475859655822272	0.876527603103017
row7	row89	-1.08399083124422	-3.86152841520798	0.00479852696852899	0.876527603103017
row88	row66	-0.801363317444953	-3.84290752602328	0.00492682702028286	0.876527603103017
row37	row19	-1.11107347434372	-3.82453644716385	0.00505701260784804	0.876527603103017
row78	row40	-0.938169880337372	-3.81754631417199	0.00510751090467756	0.876527603103017
row98	row17	-0.767988460261314	-3.79050338139348	0.00530801700740845	0.876527603103017
row34	row18	1.289620579305	3.78125230909135	0.00537852743583156	0.876527603103017
row40	row100	1.71853058321879	3.78060536400035	0.00538349570066373	0.876527603103017
row42	row12	-0.795327713562902	-3.76448673186536	0.00550887769569628	0.876527603103017
row13	row17	0.692035376629439	3.75068859927542	0.00561868999253326	0.876527603103017
row21	row14	0.681900732003965	3.7433024512401	0.00567843181385866	0.876527603103017
row25	row84	-0.83782228508634	-3.74287426437385	0.00568191589360012	0.876527603103017
row69	row98	1.28154890187612	3.7301057147119	0.00578686784375986	0.876527603103017
row13	row81	1.2150146977801	3.71375403876086	0.00592430484538349	0.876527603103017
row95	row84	-0.800312829105126	-3.71184261799334	0.00594059656652304	0.876527603103017
row9	row33	-1.10900504804459	-3.69848075329582	0.00605582882845922	0.876527603103017
row58	row7	0.79060546359986	3.69771244404977	0.0060625268309926	0.876527603103017
row69	row69	0.636892205203386	3.69642436287867	0.00607377387005178	0.876527603103017
row8	row69	-0.526381940042254	-3.69455261920087	0.00609015693403884	0.876527603103017
row71	row52	-0.825446729543115	-3.68831597831007	0.00614508641453682	0.876527603103017
row6	row32	1.20991890416195	3.67865581962839	0.00623121470154047	0.876527603103017
row61	row78	0.85137298384317	3.67184205855292	0.00629273896258033	0.876527603103017
row17	row43	-1.23086035467621	-3.66983346917747	0.00631099874234172	0.876527603103017
row80	row97	-0.830657232678206	-3.62153685112729	0.00676750346149673	0.897688198743305
row52	row76	-1.22978875107042	-3.58077677492891	0.00718015222568316	0.897688198743305
row40	row43	2.16747956732901	3.56970872253575	0.00729676813359555	0.897688198743305
row44	row15	-0.632764325747202	-3.5684090559805	0.00731059335270669	0.897688198743305
row57	row41	-1.35059061181781	-3.55554961801331	0.00744889674634653	0.897688198743305
row46	row37	0.945612625772525	3.54623683896088	0.00755079107547257	0.897688198743305
